name,slug,id,release,runtime,rewatched,rating,liked,reviewed,date
Like Minds,like-minds,42158,2006,,0,7,1,1,2025-10-21
eXistenZ,existenz,50662,1999,,0,6,1,1,2025-10-21
Titane,titane,556553,2021,,0,9,1,1,2025-10-20
Lake Mungo,lake-mungo,34576,2008,,0,6,0,1,2025-10-19
Friendship,friendship-2024,1122691,2024,,0,7,1,1,2025-10-19
Killer Klowns from Outer Space,killer-klowns-from-outer-space,41672,1988,,0,6,1,1,2025-10-16
Stop Making Sense,stop-making-sense,37004,1984,,0,10,1,1,2025-10-15
Barbarian,barbarian-2022,819648,2022,,0,6,1,1,2025-10-14
Perfect Blue,perfect-blue,46175,1997,,1,10,1,1,2025-10-11
The Sweet East,the-sweet-east,910529,2023,,0,,0,1,2025-10-08
The Stuff,the-stuff,40301,1985,,0,8,1,1,2025-10-03
Atlantics,atlantics-2019,427321,2019,,0,8,1,1,2025-09-23
The Master,the-master-2012,52512,2012,,0,10,1,1,2025-09-21
Tom at the Farm,tom-at-the-farm,133420,2013,,0,8,1,1,2025-09-20
One Battle After Another,one-battle-after-another,951277,2025,,0,9,1,1,2025-09-16
Mind Game,mind-game,38248,2004,,0,9,1,1,2025-09-14
The Long Walk,the-long-walk-2025,531316,2025,,0,7,1,1,2025-09-12
Il Posto,il-posto,30917,1961,,0,8,1,1,2025-09-11
The Passenger,the-passenger-2023,861437,2023,,0,6,0,1,2025-09-07
Bad Education,bad-education,51911,2004,,0,6,0,1,2025-09-05
The Big Heat,the-big-heat,42977,1953,,0,6,1,1,2025-09-02
On Becoming a Guinea Fowl,on-becoming-a-guinea-fowl,976214,2024,,0,10,1,1,2025-09-02
The Zone of Interest,the-zone-of-interest,398800,2023,,0,9,1,1,2025-08-26
Welcome to the Dollhouse,welcome-to-the-dollhouse,45296,1995,,0,8,1,1,2025-08-24
Cocktail,cocktail,47992,1988,,0,,1,1,2025-08-23
Rosemary's Baby,rosemarys-baby,51347,1968,,0,8,1,1,2025-08-21
Highest 2 Lowest,highest-2-lowest,1125031,2025,,0,3,0,1,2025-08-17
Weapons,weapons-2025,972109,2025,,0,6,0,1,2025-08-16
The Royal Road,the-royal-road,246294,2015,,0,8,1,1,2025-08-04
Eddington,eddington,574595,2025,,0,5,0,1,2025-07-22
Totally F***ed Up,totally-fed-up,29698,1993,,0,9,1,1,2025-07-19
"Sorry, Baby",sorry-baby-2025,1090464,2025,,0,8,1,1,2025-07-09
Nowhere,nowhere,50782,1997,,0,8,1,1,2025-07-09
Desert Hearts,desert-hearts,51765,1985,,0,8,1,1,2025-06-30
Ponyboi,ponyboi-2024,949011,2024,,0,6,0,1,2025-06-27
The Legend of the Stardust Brothers,the-legend-of-the-stardust-brothers,459786,1985,,0,7,1,1,2025-06-27
Brokeback Mountain,brokeback-mountain,51909,2005,,1,9,1,1,2025-06-22
C.R.A.Z.Y.,crazy-2005,45314,2005,,0,6,0,1,2025-06-19
Orlando,orlando,47292,1992,,0,8,1,1,2025-06-15
I Am Divine,i-am-divine,126249,2013,,0,,1,1,2025-06-09
Funeral Parade of Roses,funeral-parade-of-roses,50978,1969,,0,10,1,1,2025-06-08
Disobedience,disobedience-2017,353522,2017,,0,7,1,1,2025-06-06
Mountainhead,mountainhead,1297861,2025,,0,4,0,1,2025-06-01
Sinners,sinners-2025,1116600,2025,,0,8,1,1,2025-05-11
Love & Pop,love-pop,58621,1998,,0,9,1,1,2025-05-09
Medusa Deluxe,medusa-deluxe,840861,2022,,0,7,1,1,2025-05-09
On Swift Horses,on-swift-horses,984944,2024,,0,5,0,1,2025-04-28
The Shrouds,the-shrouds,873736,2024,,0,7,0,1,2025-04-28
To Die For,to-die-for,51543,1995,,0,8,1,1,2025-04-27
Tenet,tenet,506032,2020,,1,6,0,1,2025-04-21
Dead Ringers,dead-ringers,47060,1988,,0,10,1,1,2025-04-11
Boogie Nights,boogie-nights,49007,1997,,0,9,1,1,2025-04-10
Uptown Girls,uptown-girls,42706,2003,,0,8,1,1,2025-03-28
Jawbreaker,jawbreaker,40022,1999,,0,6,1,1,2025-03-26
Mean Streets,mean-streets,51850,1973,,0,6,1,1,2025-03-18
Tommy,tommy,45408,1975,,0,,1,1,2025-03-18
Heretic,heretic-2024,1025331,2024,,0,6,0,1,2025-03-08
The Producers,the-producers-2005,46735,2005,,0,7,0,1,2025-03-05
Mobile Suit Gundam GQuuuuuuX -Beginning-,mobile-suit-gundam-gquuuuuux-beginning,1281080,2025,,0,7,1,1,2025-02-27
The Apartment,the-apartment,51774,1960,,0,9,1,1,2025-02-24
Possession,possession,38374,1981,,0,10,1,1,2025-02-15
Mickey 17,mickey-17,620281,2025,,0,6,0,1,2025-02-13
Stress Positions,stress-positions,1098308,2024,,0,6,0,1,2025-02-01
Plainclothes,plainclothes,1139776,2025,,0,6,0,1,2025-01-30
Wild at Heart,wild-at-heart,51623,1990,,0,9,1,1,2025-01-29
Nosferatu,nosferatu-2024,359505,2024,,0,9,1,1,2025-01-26
The Wolf of Wall Street,the-wolf-of-wall-street,86114,2013,,0,,1,1,2025-01-22
Heat,heat-1995,51994,1995,,0,7,1,1,2025-01-21
Lost Highway,lost-highway,51486,1997,,0,8,1,1,2025-01-20
Mulholland Drive,mulholland-drive,51171,2001,,1,,1,1,2025-01-19
The Brutalist,the-brutalist,478428,2024,,0,8,1,1,2025-01-14
Network,network,45909,1976,,0,9,1,1,2025-01-12
Conclave,conclave,877253,2024,,0,8,1,1,2025-01-10
Saturday Night,saturday-night-2024,1010683,2024,,0,6,0,1,2025-01-08
Carry-On,carry-on-2024,905876,2024,,0,5,0,1,2025-01-08
Emilia Pérez,emilia-perez,877608,2024,,0,,0,1,2025-01-07
Eyes Wide Shut,eyes-wide-shut,51717,1999,,0,8,1,1,2025-01-02
The Rules of Attraction,the-rules-of-attraction,50784,2002,,0,,0,1,2025-01-02
Problemista,problemista,766759,2023,,0,7,1,1,2024-12-29
Trap,trap-2024,931164,2024,,0,5,0,1,2024-12-27
Black Christmas,black-christmas,41305,1974,,0,6,1,1,2024-12-25
Prometheus,prometheus,58486,2012,,0,6,0,1,2024-12-23
Queer,queer-2024,955184,2024,,0,10,1,1,2024-12-23
The Lair of the White Worm,the-lair-of-the-white-worm,45387,1988,,0,8,1,1,2024-12-22
Joker: Folie à Deux,joker-folie-a-deux,800858,2024,,0,3,0,1,2024-12-21
Legally Blonde,legally-blonde,47586,2001,,0,,1,1,2024-12-03
Alien,alien,51714,1979,,0,8,1,1,2024-11-29
Look Back,look-back-2024,1127669,2024,,0,10,1,1,2024-11-29
Becket,becket,42389,1964,,0,8,1,1,2024-11-23
Saw III,saw-iii,51842,2006,,0,6,0,1,2024-11-19
