name,slug,id,release,runtime,rewatched,rating,liked,reviewed,date
Ginger Snaps,ginger-snaps,46762,2000,,0,6,1,1,2025-10-28
Kick-Ass,kick-ass,37354,2010,,1,5,1,1,2025-10-27
Creep,creep-2014,174928,2014,,1,8,1,1,2025-10-24
Crank: High Voltage,crank-high-voltage,42603,2009,,1,9,1,1,2025-10-19
Bugonia,bugonia,625400,2025,,0,9,1,1,2025-10-18
Driving Delco,driving-delco,1149452,2022,,0,,1,1,2025-10-16
Bad Lieutenant: Port of Call – New Orleans,bad-lieutenant-port-of-call-new-orleans,45055,2009,,0,8,1,1,2025-10-14
One Battle After Another,one-battle-after-another,951277,2025,,1,8,1,0,2025-10-13
The Killer,the-killer,45850,1989,,0,8,1,0,2025-10-11
A Better Tomorrow,a-better-tomorrow,45272,1986,,0,8,1,1,2025-10-11
Burn After Reading,burn-after-reading,49054,2008,,1,8,1,0,2025-10-11
Good Time,good-time,362362,2017,,1,9,1,1,2025-10-10
Half Past Dead,half-past-dead,46482,2002,,0,7,1,1,2025-10-10
The Smashing Machine,the-smashing-machine-2025,680739,2025,,0,6,0,1,2025-10-04
Gummo,gummo,40368,1997,,0,8,1,0,2025-09-25
Snatch,snatch,51943,2000,,1,7,1,1,2025-09-24
Cruising,cruising,34050,1980,,0,6,1,1,2025-09-22
"Lock, Stock and Two Smoking Barrels",lock-stock-and-two-smoking-barrels,51950,1998,,1,9,1,0,2025-09-22
Female Trouble,female-trouble,43216,1974,,0,,0,0,2025-09-21
The Master,the-master-2012,52512,2012,,0,9,1,0,2025-09-19
Inherent Vice,inherent-vice,125830,2014,,1,9,1,1,2025-09-19
One Battle After Another,one-battle-after-another,951277,2025,,1,8,1,1,2025-09-16
Killing Them Softly,killing-them-softly,278,2012,,1,6,1,1,2025-09-14
Crank: High Voltage,crank-high-voltage,42603,2009,,0,8,1,1,2025-09-10
Sniper: Special Ops,sniper-special-ops,328649,2016,,0,1,0,1,2025-09-10
Hard to Kill,hard-to-kill,47031,1990,,0,6,1,1,2025-09-09
The Counselor,the-counselor,87685,2013,,0,6,0,1,2025-09-07
Dredd,dredd,16527,2012,,1,7,1,0,2025-09-04
The Beach Bum,the-beach-bum,374051,2019,,0,8,1,0,2025-09-02
Basic Instinct,basic-instinct,51688,1992,,0,9,1,1,2025-09-01
Caught Stealing,caught-stealing,1129199,2025,,0,8,1,1,2025-08-31
The Departed,the-departed,51042,2006,,1,10,1,1,2025-08-29
To Live and Die in L.A.,to-live-and-die-in-la,46769,1985,,0,10,1,1,2025-08-26
The Thin Blue Line,the-thin-blue-line,43200,1988,,0,8,1,0,2025-08-24
Cocktail,cocktail,47992,1988,,0,,1,0,2025-08-22
Highest 2 Lowest,highest-2-lowest,1125031,2025,,0,5,0,0,2025-08-22
Tenet,tenet,506032,2020,,1,10,1,1,2025-08-20
War of the Worlds,war-of-the-worlds-2025,676545,2025,,0,1,0,1,2025-08-19
Weapons,weapons-2025,972109,2025,,0,4,0,1,2025-08-18
Casino,casino,51593,1995,,0,8,1,0,2025-08-17
The Naked Gun,the-naked-gun,933381,2025,,0,8,1,1,2025-08-12
Cloud,cloud-2024,1127005,2024,,0,7,1,1,2025-08-11
The Man Who Wasn't There,the-man-who-wasnt-there-2001,45906,2001,,0,7,1,1,2025-08-06
Dragged Across Concrete,dragged-across-concrete,371464,2018,,0,7,0,1,2025-07-31
Memento,memento,51973,2000,,1,9,1,1,2025-07-29
Inside Llewyn Davis,inside-llewyn-davis,73367,2013,,0,9,1,1,2025-07-24
Eddington,eddington,574595,2025,,0,8,1,1,2025-07-22
John Wick: Chapter 4,john-wick-chapter-4,530882,2023,,1,9,1,1,2025-07-22
Klute,klute,51636,1971,,0,7,1,1,2025-07-15
Cutter's Way,cutters-way,31043,1981,,0,10,1,1,2025-07-15
Idiocracy,idiocracy,48000,2006,,1,5,0,0,2025-07-12
Mayhem!,mayhem-2023,863202,2023,,0,3,0,1,2025-07-08
Office Space,office-space,50991,1999,,0,7,1,1,2025-07-07
High and Low,high-and-low,44542,1963,,0,8,1,1,2025-07-04
Tinker Tailor Soldier Spy,tinker-tailor-soldier-spy,16095,2011,,0,10,1,1,2025-07-01
Ballerina,ballerina-2025,470671,2025,,0,8,1,1,2025-06-20
Mare of Easttown,mare-of-easttown,715859,2021,,0,8,1,0,2025-06-20
The Nice Guys,the-nice-guys,216301,2016,,1,10,1,1,2025-06-15
How to Train Your Dragon,how-to-train-your-dragon-2025,980116,2025,,0,5,0,1,2025-06-15
The Phoenician Scheme,the-phoenician-scheme,1025047,2025,,0,8,1,0,2025-06-07
Final Destination,final-destination,47068,2000,,0,6,0,1,2025-06-05
Mountainhead,mountainhead,1297861,2025,,0,,1,0,2025-06-01
The Town,the-town,37503,2010,,0,8,1,1,2025-05-31
The Social Network,the-social-network,26711,2010,,1,9,1,1,2025-05-30
Miami Blues,miami-blues,42701,1990,,0,8,1,1,2025-05-28
Mission: Impossible – The Final Reckoning,mission-impossible-the-final-reckoning,503403,2025,,0,7,1,1,2025-05-25
Mission: Impossible – Dead Reckoning,mission-impossible-dead-reckoning,503402,2023,,0,8,1,1,2025-05-23
Mission: Impossible,mission-impossible,51206,1996,,0,8,1,1,2025-05-22
Chinatown,chinatown,51323,1974,,1,10,1,1,2025-05-21
Sinners,sinners-2025,1116600,2025,,1,9,1,1,2025-05-20
The Gamechangers,the-gamechangers,287886,2015,,0,3,0,1,2025-05-18
The Thin Red Line,the-thin-red-line,47627,1998,,0,9,1,1,2025-05-14
Tenet,tenet,506032,2020,,1,10,1,1,2025-05-13
Once Upon a Time in the West,once-upon-a-time-in-the-west,51727,1968,,0,10,1,1,2025-05-11
In Bruges,in-bruges,47809,2008,,1,10,1,1,2025-05-10
Hereditary,hereditary,424348,2018,,0,7,0,0,2025-05-10
The Batman,the-batman,348914,2022,,1,10,1,1,2025-05-08
Crank,crank,50660,2006,,0,7,1,1,2025-05-06
Phone Booth,phone-booth,50776,2002,,0,7,1,1,2025-05-05
Evil Dead II,evil-dead-ii,51387,1987,,0,7,1,0,2025-05-04
A Minecraft Movie,a-minecraft-movie,854691,2025,,0,,0,1,2025-05-01
Unforgiven,unforgiven,2685,1992,,1,10,1,1,2025-04-28
Old,old-2021,558054,2021,,0,7,1,0,2025-04-27
Havoc,havoc-2025,593280,2025,,0,2,0,1,2025-04-26
The Accountant²,the-accountant-2025,782006,2025,,0,5,0,1,2025-04-25
Heretic,heretic-2024,1025331,2024,,0,6,0,1,2025-04-24
Top Gun,top-gun,51408,1986,,0,,1,0,2025-04-22
Tenet,tenet,506032,2020,,1,10,1,1,2025-04-21
We Own the Night,we-own-the-night,50611,2007,,0,8,1,0,2025-04-20
The Departed,the-departed,51042,2006,,1,10,1,1,2025-04-18
Friendship,friendship-2024,1122691,2024,,0,8,1,1,2025-04-18
Sinners,sinners-2025,1116600,2025,,0,8,1,1,2025-04-18
Attrition,attrition,478945,2018,,0,,1,1,2025-04-16
Uncut Gems,uncut-gems,404266,2019,,1,8,1,1,2025-04-16
Warfare,warfare,1124701,2025,,0,7,1,1,2025-04-13
The Departed,the-departed,51042,2006,,1,10,1,1,2025-04-08
TRON: Legacy,tron-legacy,38957,2010,,0,6,0,1,2025-04-08
Trap,trap-2024,931164,2024,,1,8,1,0,2025-04-07
Aftersun,aftersun,868558,2022,,0,8,1,1,2025-03-31
The Bling Ring,the-bling-ring,79893,2013,,0,8,1,1,2025-03-28
Under the Silver Lake,under-the-silver-lake,330810,2018,,0,7,0,1,2025-03-26
The Raid 2,the-raid-2,130913,2014,,1,7,1,1,2025-03-25
Mikey and Nicky,mikey-and-nicky,7211,1976,,0,8,1,1,2025-03-24
One Battle After Another,one-battle-after-another,951277,2025,,0,,1,1,2025-03-24
The Raid,the-raid-2011,78266,2011,,1,9,1,1,2025-03-22
The Girl with the Dragon Tattoo,the-girl-with-the-dragon-tattoo-2011,1086,2011,,1,9,1,1,2025-03-21
Spring Breakers,spring-breakers,96109,2012,,1,8,1,0,2025-03-19
Daredevil,daredevil,47118,2003,,0,2,0,1,2025-03-18
Carlito's Way,carlitos-way,48473,1993,,0,7,1,0,2025-03-15
Eephus,eephus,1110060,2024,,0,8,1,1,2025-03-14
Black Bag,black-bag-2025,1116755,2025,,0,8,1,1,2025-03-13
Imperium,imperium,310131,2016,,0,5,0,0,2025-03-11
Bound,bound,47289,1996,,0,7,1,0,2025-03-10
JFK,jfk,51332,1991,,0,9,1,1,2025-03-09
