tmdb_id,title,release_year,runtime_minutes,genres,vote_average,vote_count,tmdb_url
278,The Shawshank Redemption,1994,142,Drama|Crime,8.711,29187,https://www.themoviedb.org/movie/278
238,The Godfather,1972,175,Drama|Crime,8.685,22047,https://www.themoviedb.org/movie/238
240,The Godfather Part II,1974,202,Drama|Crime,8.571,13325,https://www.themoviedb.org/movie/240
424,Schindler's List,1993,195,Drama|History|War,8.565,16848,https://www.themoviedb.org/movie/424
389,12 Angry Men,1957,97,Drama,8.549,9514,https://www.themoviedb.org/movie/389
129,Spirited Away,2001,125,Animation|Family|Fantasy,8.534,17622,https://www.themoviedb.org/movie/129
155,The Dark Knight,2008,152,Drama|Action|Crime|Thriller,8.524,34681,https://www.themoviedb.org/movie/155
19404,Dilwale Dulhania Le Jayenge,1995,190,Comedy|Drama|Romance,8.5,4518,https://www.themoviedb.org/movie/19404
497,The Green Mile,1999,189,Fantasy|Drama|Crime,8.503,18535,https://www.themoviedb.org/movie/497
496243,Parasite,2019,133,Comedy|Thriller|Drama,8.496,19690,https://www.themoviedb.org/movie/496243
122,The Lord of the Rings: The Return of the King,2003,201,Adventure|Fantasy|Action,8.49,25645,https://www.themoviedb.org/movie/122
680,Pulp Fiction,1994,154,Thriller|Crime|Comedy,8.487,29259,https://www.themoviedb.org/movie/680
372058,Your Name.,2016,106,Animation|Romance|Drama,8.478,12087,https://www.themoviedb.org/movie/372058
13,Forrest Gump,1994,142,Comedy|Drama|Romance,8.463,28829,https://www.themoviedb.org/movie/13
157336,Interstellar,2014,169,Adventure|Drama|Science Fiction,8.462,38210,https://www.themoviedb.org/movie/157336
429,"The Good, the Bad and the Ugly",1966,161,Western,8.462,9242,https://www.themoviedb.org/movie/429
769,GoodFellas,1990,145,Drama|Crime,8.453,13764,https://www.themoviedb.org/movie/769
346,Seven Samurai,1954,207,Action|Drama,8.451,4022,https://www.themoviedb.org/movie/346
12477,Grave of the Fireflies,1988,89,Animation|Drama|War,8.447,6186,https://www.themoviedb.org/movie/12477
637,Life Is Beautiful,1997,116,Comedy|Drama,8.44,13619,https://www.themoviedb.org/movie/637
550,Fight Club,1999,139,Drama|Thriller,8.438,30970,https://www.themoviedb.org/movie/550
667257,Impossible Things,2021,88,Family|Drama,8.436,416,https://www.themoviedb.org/movie/667257
14537,Harakiri,1962,135,Action|Drama|History,8.4,1127,https://www.themoviedb.org/movie/14537
11216,Cinema Paradiso,1988,124,Drama|Romance,8.431,4647,https://www.themoviedb.org/movie/11216
598,City of God,2002,129,Drama|Crime,8.428,7863,https://www.themoviedb.org/movie/598
120,The Lord of the Rings: The Fellowship of the Ring,2001,179,Adventure|Fantasy|Action,8.426,26579,https://www.themoviedb.org/movie/120
40096,A Dog's Will,2000,104,Comedy|Drama|Fantasy|Romance,8.4,1190,https://www.themoviedb.org/movie/40096
539,Psycho,1960,109,Horror|Thriller|Mystery,8.421,10612,https://www.themoviedb.org/movie/539
510,One Flew Over the Cuckoo's Nest,1975,133,Drama,8.4,11027,https://www.themoviedb.org/movie/510
121,The Lord of the Rings: The Two Towers,2002,179,Adventure|Fantasy|Action,8.41,23084,https://www.themoviedb.org/movie/121
696374,Gabriel's Inferno,2020,122,Romance|Drama,8.403,2437,https://www.themoviedb.org/movie/696374
255709,Hope,2013,122,Drama,8.4,806,https://www.themoviedb.org/movie/255709
311,Once Upon a Time in America,1984,229,Drama|Crime,8.4,5784,https://www.themoviedb.org/movie/311
324857,Spider-Man: Into the Spider-Verse,2018,117,Animation|Action|Adventure|Science Fiction,8.395,16585,https://www.themoviedb.org/movie/324857
4935,Howl's Moving Castle,2004,119,Fantasy|Animation|Adventure,8.394,10606,https://www.themoviedb.org/movie/4935
1891,The Empire Strikes Back,1980,124,Adventure|Action|Science Fiction,8.394,17816,https://www.themoviedb.org/movie/1891
378064,A Silent Voice: The Movie,2016,129,Animation|Drama|Romance,8.387,4266,https://www.themoviedb.org/movie/378064
423,The Pianist,2002,150,Drama|War,8.38,9755,https://www.themoviedb.org/movie/423
807,Se7en,1995,127,Crime|Mystery|Thriller,8.377,22269,https://www.themoviedb.org/movie/807
244786,Whiplash,2014,107,Drama|Music,8.375,16038,https://www.themoviedb.org/movie/244786
770156,Lucy Shimmers and the Prince of Peace,2020,87,Drama|Family,8.37,327,https://www.themoviedb.org/movie/770156
27205,Inception,2010,148,Action|Science Fiction|Adventure,8.37,38194,https://www.themoviedb.org/movie/27205
724089,Gabriel's Inferno: Part II,2020,106,Romance|Drama,8.369,1534,https://www.themoviedb.org/movie/724089
1058694,Radical,2023,126,Drama,8.361,481,https://www.themoviedb.org/movie/1058694
